#epochs loss_tr acc_tr loss_val acc_val
10 0.025723735141664334 0.02183618947333827 0.9901851851851852 0.9898333333333333
20 0.021133876025013407 0.01904520448945906 0.9919444444444444 0.9915
30 0.021701643528903466 0.017153321334881958 0.9913518518518518 0.9923333333333333
40 0.018850635659220634 0.01674805374924735 0.9924444444444445 0.9921666666666666
50 0.019264442471378828 0.01762113303851599 0.9922962962962963 0.9925
60 0.017932267459840126 0.017133410002219185 0.9929259259259259 0.9923333333333333
70 0.017477680164765586 0.01645758588169206 0.9932037037037037 0.9933333333333333
80 0.017107634704644794 0.016973130527643893 0.9933518518518518 0.9921666666666666
90 0.01688678852741505 0.014807012048279037 0.9933888888888889 0.9936666666666667
100 0.016415976253561265 0.017345853884840022 0.9933518518518518 0.9925
110 0.01574766874426841 0.014048965680519766 0.9937407407407407 0.9945
120 0.015647477002679187 0.013903903267670645 0.9939259259259259 0.9936666666666667
130 0.015174834943583428 0.013719220879659376 0.9939629629629629 0.9941666666666666
140 0.014851998382398581 0.013654478666771962 0.9944444444444445 0.9941666666666666
150 0.014594375857993362 0.011490464298489354 0.9943888888888889 0.995
160 0.013876105241191051 0.012007690346898867 0.9946851851851852 0.9945
170 0.013565477528134372 0.012890395322369358 0.9946481481481482 0.9943333333333333
180 0.013255189322858185 0.012793990236612908 0.9947592592592592 0.9951666666666666
190 0.01288253601048004 0.01641886328254375 0.9950555555555556 0.9925
200 0.012610040915161314 0.01067632855135121 0.9952222222222222 0.9955
210 0.011878196722373236 0.0194839300892396 0.9954074074074074 0.9905
220 0.011513950554679802 0.00925351066252504 0.9955185185185185 0.9965
230 0.011388218999349477 0.009884209493861817 0.9957222222222222 0.996
240 0.011102307219085015 0.009479256764869754 0.9957407407407407 0.9965
250 0.010755326923225094 0.011016912372947154 0.9958148148148148 0.995
260 0.009841089803755637 0.008350046604295386 0.9964444444444445 0.9968333333333333
270 0.009940216397862817 0.0095857457105814 0.9961111111111111 0.9956666666666667
280 0.00921588510624101 0.007826024611530523 0.9963148148148148 0.997
290 0.00952737486057176 0.007716747775812424 0.9963888888888889 0.997
300 0.009051942750063727 0.00710628748206748 0.9963148148148148 0.997
